model,resample_no,rmse
lgb,171,0.48372819409797907
lgb,172,0.4828157174426946
lgb,173,0.4867995540616453
lgb,174,0.5027870047578211
lgb,175,0.4769467138162722
lgb,176,0.4929862687328206
lgb,177,0.47958264002130224
lgb,178,0.49062167322287
lgb,179,0.4772701487317244
lgb,180,0.49051205998551656
lgb,181,0.49158625409852724
lgb,182,0.49051205998551656
lgb,183,0.4929862687328206
lgb,184,0.49035034252779053
lgb,185,0.49158625409852724
lgb,186,0.49449589660446736
lgb,187,0.4732342078924009
lgb,188,0.4946576140621935
lgb,189,0.478618059145645
lgb,190,0.48125398535067515
lgb,191,0.4717245800207541
lgb,192,0.48647611914619315
lgb,193,0.4889503278934971
lgb,194,0.47570841663970487
lgb,195,0.481092267892949
lgb,196,0.5147906188350461
lgb,197,0.4946576140621935
lgb,198,0.5064995106816924
lgb,199,0.4901862394642338
lgb,200,0.51462890137732
